member_casual,rideable_type,ride_year,ride_month,day_of_week,hour_of_day,number_of_rides,avg_ride_duration,avg_ride_distance
casual,classic_bike,2021,Jan,Friday,0,7,128.8452380952381,2877.43353482111
casual,classic_bike,2021,Jan,Friday,1,10,11.621666666666666,2076.2957277443547
casual,classic_bike,2021,Jan,Friday,2,16,12.441666666666666,2324.7162278540354
casual,classic_bike,2021,Jan,Friday,3,3,12.405555555555555,2253.539121339723
casual,classic_bike,2021,Jan,Friday,4,6,12.411111111111111,1777.2014750048336
casual,classic_bike,2021,Jan,Friday,5,10,8.711666666666666,1675.534024122875
casual,classic_bike,2021,Jan,Friday,6,14,7.669047619047619,1338.4476776959839
casual,classic_bike,2021,Jan,Friday,7,30,14.450555555555555,2840.4161286728518
casual,classic_bike,2021,Jan,Friday,8,38,15.539473684210526,1796.146972695157
casual,classic_bike,2021,Jan,Friday,9,30,13.091666666666667,1972.9099562835122
casual,classic_bike,2021,Jan,Friday,10,50,18.993666666666666,2224.253396058895
casual,classic_bike,2021,Jan,Friday,11,63,23.97989417989418,1933.194624424833
casual,classic_bike,2021,Jan,Friday,12,66,19.878030303030304,2143.00141034502
casual,classic_bike,2021,Jan,Friday,13,79,39.39662447257384,1794.2556147632438
casual,classic_bike,2021,Jan,Friday,14,72,19.086805555555557,2442.5969247208495
casual,classic_bike,2021,Jan,Friday,15,84,16.52956349206349,2107.83167792043
casual,classic_bike,2021,Jan,Friday,16,113,18.78938053097345,2145.3333875511876
casual,classic_bike,2021,Jan,Friday,17,96,18.869965277777776,2069.9818276292362
casual,classic_bike,2021,Jan,Friday,18,100,20.746,1789.2415309404848
casual,classic_bike,2021,Jan,Friday,19,73,13.22785388127854,1506.5332512377363
casual,classic_bike,2021,Jan,Friday,20,34,14.58578431372549,1701.4481473075105
casual,classic_bike,2021,Jan,Friday,21,33,20.47979797979798,1400.1868258084717
casual,classic_bike,2021,Jan,Friday,22,20,21.8675,2068.216793890635
casual,classic_bike,2021,Jan,Friday,23,36,10.339814814814815,1542.544458200032
casual,classic_bike,2021,Jan,Monday,0,5,7.173333333333334,1297.3509974243489
casual,classic_bike,2021,Jan,Monday,1,3,8.838888888888889,1507.217561251025
casual,classic_bike,2021,Jan,Monday,2,3,10.605555555555556,1587.354030355866
casual,classic_bike,2021,Jan,Monday,3,1,6.516666666666667,1064.5623166915389
casual,classic_bike,2021,Jan,Monday,4,5,17.48,3624.2154784724826
casual,classic_bike,2021,Jan,Monday,5,4,8.716666666666667,1958.6980063975516
casual,classic_bike,2021,Jan,Monday,6,12,14.848611111111111,3281.9701922449303
casual,classic_bike,2021,Jan,Monday,7,23,41.324637681159416,2609.5090498823497
casual,classic_bike,2021,Jan,Monday,8,38,12.922368421052632,2312.427701257258
casual,classic_bike,2021,Jan,Monday,9,42,22.305555555555557,2284.781818536247
casual,classic_bike,2021,Jan,Monday,10,44,13.354924242424243,1898.9207941409381
casual,classic_bike,2021,Jan,Monday,11,55,16.416969696969698,1972.3866399925175
casual,classic_bike,2021,Jan,Monday,12,75,18.024444444444445,2316.1413575647025
casual,classic_bike,2021,Jan,Monday,13,82,20.791869918699188,1704.0239416388742
casual,classic_bike,2021,Jan,Monday,14,69,21.98454106280193,2123.8210657883837
casual,classic_bike,2021,Jan,Monday,15,65,19.74051282051282,2093.7725337061024
casual,classic_bike,2021,Jan,Monday,16,82,16.71869918699187,2037.9238296695562
casual,classic_bike,2021,Jan,Monday,17,88,15.239772727272728,1871.159136600098
casual,classic_bike,2021,Jan,Monday,18,50,11.487333333333334,1892.9607430676897
casual,classic_bike,2021,Jan,Monday,19,25,11.209999999999999,1448.3573705806102
casual,classic_bike,2021,Jan,Monday,20,24,9.404166666666667,1335.9200358241462
casual,classic_bike,2021,Jan,Monday,21,20,17.708333333333332,2148.4084077132848
casual,classic_bike,2021,Jan,Monday,22,19,18.847368421052632,2565.1375654695994
casual,classic_bike,2021,Jan,Monday,23,6,17.78888888888889,2394.8317151969372
casual,classic_bike,2021,Jan,Saturday,0,23,12.009420289855072,1347.375590981644
casual,classic_bike,2021,Jan,Saturday,1,14,9.526190476190475,1380.2988590927775
casual,classic_bike,2021,Jan,Saturday,2,10,11.415000000000001,1421.0810062894407
casual,classic_bike,2021,Jan,Saturday,3,3,9.044444444444444,1517.6684184629926
casual,classic_bike,2021,Jan,Saturday,4,5,11.85,2322.4599366934817
casual,classic_bike,2021,Jan,Saturday,5,2,12.933333333333334,1815.7809848693742
casual,classic_bike,2021,Jan,Saturday,6,7,17.51904761904762,1920.2926391940332
casual,classic_bike,2021,Jan,Saturday,7,17,24.391176470588235,1704.5345656311476
casual,classic_bike,2021,Jan,Saturday,8,35,14.313333333333333,1999.136356556632
casual,classic_bike,2021,Jan,Saturday,9,54,17.776234567901234,2672.025521463103
casual,classic_bike,2021,Jan,Saturday,10,91,20.75897435897436,2226.4848607301387
casual,classic_bike,2021,Jan,Saturday,11,145,26.594252873563217,2715.0719126509493
casual,classic_bike,2021,Jan,Saturday,12,195,27.56931623931624,2443.8671000173463
casual,classic_bike,2021,Jan,Saturday,13,229,22.17867540029112,2398.0354165664526
casual,classic_bike,2021,Jan,Saturday,14,188,21.617375886524822,2331.0906476863743
